h k l n m i d u x y z e t r
k 2 16 65536 2 1 1 0 0.000015 0.500000 0.000000 16.031250 1.797200e-07 2.472622e-13
k 2 16 65536 4 1 1 0 0.000015 0.250000 0.000000 16.031250 2.315600e-07 3.185750e-13
k 2 16 65536 8 1 1 0 0.000015 0.125000 0.000000 16.031250 1.599200e-07 2.200009e-13
k 2 16 65536 16 1 1 0 0.000015 0.062500 0.000000 16.031250 2.144000e-07 2.949126e-13
k 2 16 65536 32 1 1 0 0.000015 0.031250 0.000000 16.031250 2.154200e-07 2.962434e-13
k 2 16 65536 64 1 1 0 0.000015 0.015625 0.000000 16.035156 1.518000e-07 2.086520e-13
k 2 16 65536 128 1 1 0 0.000015 0.007812 0.000000 16.039062 2.376600e-07 3.263498e-13
k 2 16 65536 256 1 1 0 0.000015 0.003906 0.000000 16.046875 1.720200e-07 2.357547e-13
k 2 16 65536 512 1 1 0 0.000015 0.001953 0.000000 16.062500 2.067800e-07 2.822951e-13
k 2 16 65536 1024 1 1 0 0.000015 0.000977 0.000000 16.093750 2.049000e-07 2.775768e-13
k 2 16 65536 2048 1 1 0 0.000015 0.000488 0.000000 16.152344 1.601800e-07 2.137071e-13
k 2 16 65536 4096 1 1 0 0.000015 0.000244 0.000000 16.277344 1.318600e-07 1.707492e-13
k 2 16 65536 8192 1 1 0 0.000015 0.000122 0.000000 16.523438 1.760400e-07 2.152948e-13
k 2 16 65536 16384 1 1 0 0.000015 0.000061 0.000000 17.003906 1.629600e-07 1.793683e-13
k 2 16 65536 32768 2 2 0 0.000031 0.000061 0.000000 17.937500 2.658600e-07 2.438576e-13
k 2 16 65536 65536 86 86 0 0.001312 0.001312 0.000000 19.730469 1.229730e-05 8.459689e-12
k 2 16 65536 131072 43832 43832 2924 0.668823 0.334412 0.022308 23.214844 1.277249e-02 5.857725e-09
k 2 16 65536 262144 61655 61655 19981 0.940781 0.235195 0.076221 30.097656 2.532055e-02 6.967512e-09
k 2 16 65536 524288 65516 65516 52725 0.999695 0.124962 0.100565 44.320312 3.677553e-02 5.622002e-09
k 2 16 65536 1048576 65536 65536 92973 1.000000 0.062500 0.088666 73.222656 4.295495e-02 3.476473e-09
k 2 16 65536 1153433 65536 65536 99064 1.000000 0.056818 0.085886 79.179688 4.646253e-02 3.436883e-09
k 2 16 65536 1258291 65536 65536 103999 1.000000 0.052083 0.082651 84.824219 4.600271e-02 3.133334e-09
k 2 16 65536 1363148 65536 65536 108765 1.000000 0.048077 0.079790 89.917969 4.683498e-02 2.955893e-09
k 2 16 65536 1468006 65536 65536 113527 1.000000 0.044643 0.077334 94.808594 4.864087e-02 2.859962e-09
k 2 16 65536 1572864 65536 65536 117688 1.000000 0.041667 0.074824 99.636719 4.984953e-02 2.743441e-09
k 2 16 65536 1677721 65536 65536 121814 1.000000 0.039063 0.072607 104.667969 5.164185e-02 2.671130e-09
k 2 16 65536 1782579 65536 65536 125890 1.000000 0.036765 0.070622 110.175781 5.307736e-02 2.589613e-09
k 2 16 65536 1887436 65536 65536 129479 1.000000 0.034722 0.068600 116.261719 5.498482e-02 2.538641e-09
k 2 16 65536 1992294 65536 65536 132701 1.000000 0.032895 0.066607 122.882812 5.571649e-02 2.441343e-09
k 2 16 65536 2097152 65536 65536 136058 1.000000 0.031250 0.064878 129.609375 5.691882e-02 2.373103e-09
k 2 13 8192 4194304 8192 8192 39457 1.000000 0.001953 0.009407 237.559608 3.245263e-02 8.569860e-10
k 2 14 16384 4194304 16384 16384 67635 1.000000 0.003906 0.016125 238.184921 4.230933e-02 1.035451e-09
k 2 15 32768 4194304 32768 32768 112591 1.000000 0.007812 0.026844 239.656250 5.572040e-02 1.267821e-09
k 2 16 65536 4194304 65536 65536 180300 1.000000 0.015625 0.042987 242.253906 8.019299e-02 1.697453e-09
k 2 17 131072 4194304 131072 131072 271855 1.000000 0.031250 0.064815 246.234375 1.236016e-01 2.425079e-09
k 2 18 262144 4194304 262143 262143 371374 0.999996 0.062500 0.088542 253.765625 2.160452e-01 3.885597e-09
k 2 19 524288 4194304 524094 524094 421314 0.999630 0.124954 0.100449 263.347656 4.193672e-01 6.748433e-09
k 2 20 1048576 4194304 1027920 1027920 332722 0.980301 0.245075 0.079327 286.273438 7.509000e-01 1.033134e-08
k 2 20 1153433 4194304 1097129 1097129 301297 0.951186 0.261576 0.071835 320.328125 7.455612e-01 9.988085e-09
k 2 20 1258291 4194304 1182637 1182637 276682 0.939876 0.281963 0.065966 322.437500 7.603551e-01 9.928492e-09
k 2 20 1363148 4194304 1211489 1211489 241941 0.888744 0.288841 0.057683 324.566406 7.886499e-01 1.004640e-08
k 2 20 1468006 4194304 1119401 1119401 190447 0.762532 0.266886 0.045406 326.640625 7.564425e-01 9.408314e-09
k 2 20 1572864 4194304 1348443 1348443 197248 0.857317 0.321494 0.047028 328.738281 9.149964e-01 1.111940e-08
k 2 20 1677721 4194304 1467444 1467444 183599 0.874665 0.349866 0.043773 330.828125 9.475118e-01 1.125800e-08
k 2 20 1782579 4194304 1242935 1242935 133300 0.697268 0.296339 0.031781 332.902344 7.789464e-01 9.054495e-09
k 2 20 1887436 4194304 1473237 1473237 134962 0.780549 0.351247 0.032177 334.988281 8.983661e-01 1.022200e-08
k 2 20 1992294 4194304 1147788 1147788 90222 0.576114 0.273654 0.021511 337.050781 6.508982e-01 7.253531e-09
k 2 21 2097152 4194304 1337049 1337049 89598 0.637555 0.318777 0.021362 339.124922 7.745665e-01 8.457904e-09
k 2 21 2306867 4194304 1228127 1228127 59177 0.532379 0.292808 0.014109 407.265547 7.009899e-01 7.359376e-09
k 2 21 2516582 4194304 1122204 1122204 38538 0.445924 0.267554 0.009188 411.312422 5.987157e-01 6.053271e-09
k 2 21 2726297 4194304 1060421 1060421 25287 0.388960 0.252824 0.006029 415.347578 5.309829e-01 5.177663e-09
k 2 21 2936012 4194304 814073 814073 12917 0.277272 0.194090 0.003080 419.343672 3.883355e-01 3.657033e-09
k 2 21 3145728 4194304 629826 629826 6444 0.200216 0.150162 0.001536 423.316328 2.973622e-01 2.707765e-09
k 2 21 3355443 4194304 495764 495764 2925 0.147749 0.118199 0.000697 427.230391 2.146123e-01 1.891804e-09
k 2 21 3565158 4194304 303706 303706 943 0.085187 0.072409 0.000225 431.124922 1.221725e-01 1.043631e-09
k 2 21 3774873 4194304 128692 128692 155 0.034092 0.030683 0.000037 434.956953 4.689202e-02 3.885514e-10
k 2 21 3984588 4194304 46994 46994 13 0.011794 0.011204 0.000003 438.785078 1.535284e-02 1.235121e-10
k 2 22 4194304 4194304 48 48 0 0.000011 0.000011 0.000000 442.570234 1.535030e-05 1.199993e-13
